PK_Employé,Matricule,Qualité,Genre,Age,Pays de naissance,Ville de naissance,Situation familiale,Nombre de personnes à charge,Nombre de personnes à charge.1,Nombre d'enfants SFT,Etablissement,Code-Département,Code-Unité organisationnelle,Poste,Code-Classification,Code-Qualification,Expérience en Année,Code-Niveau d'expérience,Code-Type de contrat,Type de temps contractuel,Heures de présence / jour,Heures de présence / semaine,Heures de présence / mois,Hérité de l'affectation,Type d'affectation,Type de rattachement,Type travail,Etat de la mobilité,Pourcentage d'affectation,Pourcentage d'affectation budgeté,NbAbsencesTotaleParEmployé,TauxAbsenteisme,Droits Congés Payés,Note globale,Rubrique,Montant de l'augmentation,Taux d'augmentation,Motif d'augmentation,Montant du salaire,Situation
1,000DATA032,Mlle,Féminin,32,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,DOP3721,Responsable D'Équipe,CAS,A2,10,J01,DI,temps plein,4.610516765285995,39.6441459566075,182.884352399737,1,1,Administratif,Sur site,Locale,100,100,626,0.22819521072046264,"1,5 jours par mois",92,SBM,450,7.143,Campagne Augmentat,6750,Actif
2,000DATA044,Mr.,Masculin,36,Mauritanie,MRT,Célibataire,0,0,0,MA-Cns,PRO,DOP373,Conseiller Commercial,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,91,0.05617283950617284,"1,5 jours par mois",91,SBM,250,5.556,Campagne Augmentat,4750,Actif
3,000DATA047,Mr.,Masculin,43,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP3461,Conseilleur Technique,EMP,E2,6,C02,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,102,0.06296296296296296,"1,5 jours par mois",-99,SBM,250,5.882,Campagne Augmentat,4500,Actif
4,000DATA069,Mr.,Masculin,45,Maroc,MAR,Célibataire,0,0,0,MA-Cns,PRO,P00000887,Conseilleur Technique,EMP,E2,3,C01,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,38,0.04691358024691358,"1,5 jours par mois",-99,SBM,225,5.59,Non défini,4250,Actif
5,000DATA077,Mme.,Féminin,25,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,P00001059,Chargé De Clientèle,EMP,E2,1,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,26,0.0962962962962963,"1,5 jours par mois",-99,SBM,0,0,Non défini,3845,Actif
6,001DATA002,Mlle,Féminin,48,Maroc,MAR,Célibataire,0,0,0,MA-Cns,SPR,DRH17,Change Leader,CAD,C1,24,C01,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,543,0.07251602564102565,2 jours par mois,88,SBM,165.68,1,Campagne Augmentat,16733.68,Actif
7,001DATA009,Mme.,Féminin,36,Maroc,MAR,Marié(e),0,0,0,MA-Cns,SPR,DOP2130,Chargé De Reporting,EMP,E3,12,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,482,0.14876543209876544,"1,5 jours par mois",120,SBM,270,4.5,Campagne Augmentat,6270,Actif
8,001DATA040,Mme.,Féminin,32,Maroc,CASABLANCA,Marié(e),0,0,0,MA-ABD,PRO,P00000324,Responsable D'Équipe,CAS,A2,7,J03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,99,0.05238095238095238,"1,5 jours par mois",107,SBM,500,7.143,Campagne Augmentat,7500,Actif
9,001DATA042,Mme.,Féminin,33,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000643,Conseiller Commercial,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,104,0.05502645502645503,"1,5 jours par mois",96,SBM,250,5.556,Campagne Augmentat,4750,Actif
10,001DATA044,Mr.,Masculin,34,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000324,Conseiller Commercial,EMP,E2,6,C01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,98,0.06049382716049383,"1,5 jours par mois",102,SBM,225,5.59,Campagne Augmentat,4250,Actif
11,001DATA045,Mr.,Masculin,56,Maroc,MAR,Marié(e),0,0,0,MA-Cns,PRO,DOP137,Conseilleur Technique,EMP,E2,6,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,102,0.06296296296296296,"1,5 jours par mois",90,SBM,250,5.556,Non défini,4750,Actif
12,001DATA069,Mme.,Féminin,34,Sénégal,SEN,Marié(e),0,0,0,MA-Cns,PRO,P00000886,Conseilleur Technique,EMP,E2,3,J03,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,25,0.030864197530864196,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
13,002DATA030,Mlle,Féminin,38,Maroc,CASABLANCA,Célibataire,0,0,0,MA-Cns,PRO,P00000645,Conseilleur Technique,EMP,E2,12,J03,DI,temps plein,0,39.57,208,1,1,Administratif,Sur site,Locale,100,100,391,0.10443376068376069,"1,5 jours par mois",-99,SBM,180,4.681,Campagne Augmentat,4025,Actif
14,002DATA038,Mr.,Masculin,33,Maroc,RABAT,Marié(e),0,0,0,MA-TAC,PRO,P00000645,Chargé De Clientèle,EMP,E2,2,J02,DI,temps plein,7.91,39.57,180,1,1,Administratif,Sur site,Locale,100,100,88,0.16296296296296298,"1,5 jours par mois",-99,SBM,0,0,Non défini,3944,Actif
15,002DATA040,Mme.,Féminin,34,Sénégal,SEN,Marié(e),0,0,0,MA-ABD,ADM,DRH7,Expert En Paie,CAS,A3,7,J01,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,105,0.05555555555555555,2 jours par mois,104,SBM,1240,18.766,Campagne Augmentat,7847.72,Actif
16,002DATA042,Mme.,Féminin,26,Maroc,CASABLANCA,Marié(e),0,0,0,MA-Cns,PRO,P00000341,Conseiller Commercial,EMP,E2,7,C03,DI,temps plein,0,39.57,180,1,1,Administratif,Sur site,Locale,100,100,154,0.08148148148148149,"1,5 jours par mois",88,SBM,250,5.556,Campagne Augmentat,4750,Actif
