id,matricule,Genre,Age,Pays de naissance,Ville de naissance,Etablissement,département,unité organisationnelle,poste,classification,Code-Qualification,expérience en année,Code-Niveau d'expérience,Code-Type de contrat,Type de temps contractuel,Heures de présence / jour,Heures de présence / semaine,Heures de présence / mois,Type travail,Etat de la mobilité,NbAbsencesTotaleParEmployé,taux_absenteisme,Droits Congés Payés,note globale,Rubrique,Montant de l'augmentation,Taux d'augmentation,Motif d'augmentation,Montant du salaire,Situation,salaire_estime,augmentation_estimee_de_salaire
4487,763DATA072,Masculin,32,Maroc,MAR,MA-Cns,Hors production,DEP PILOTAGE UXC,Analyste Idp,Employés,E3,1,J01,DI,temps plein,7.91,39.57,208.0,Sur site,Locale,15,0.048076923076923,"1,5 jours par mois",-99,SBM,0.0,0.0,Historique,5946.49,Actif,5904.667826578362,-41.82217342163767
1095,177DATAE20,Masculin,48,Maroc,MAR,MA-Cns,Hors production,EM TECH FIXE,Busines Line Mgr,Cadre,C2,22,J01,DI,temps plein,0.0,42.0,208.0,Sur site,Locale,279,0.0406468531468531,2 jours par mois,4,SBM,1258.7,5.5,Campagne Augmentat,24144.22,Actif,24826.460426534668,682.2404265346668
5144,861DATA040,Féminin,28,Sénégal,SEN,MA-Cns,Production,SFR ATIF PRODUCTION,Conseiller Commercial,Employés,E2,7,C02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,256,0.1354497354497354,"1,5 jours par mois",96,SBM,250.0,5.882,Non défini,4500.0,Actif,4591.074315916482,91.07431591648219
2470,404DATA069,Masculin,26,Maroc,MAR,MA-Cns,Production,SFR STIT OFFSHORE AE TACH,Chargé De Clientèle,Employés,E2,3,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,162,0.2,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,3845.0,Actif,3889.231110010561,44.231110010561224
3618,615DATA042,Féminin,27,Maroc,CASABLANCA,MA-Cns,Hors production,DEP GLOBAL DATA PLATFORM,Data Engineer,Cadre,C1,7,C01,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,119,0.0629629629629629,2 jours par mois,3,SBM,3278.17,23.0,Campagne Augmentat,17531.08,Actif,12343.517515245947,-5187.562484754055
860,145DATA032,Masculin,36,Maroc,MAR,MA-Cns,Production,DEP COACHING TECH C2,Coach,Employés,E4,10,C03,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,209,0.0774074074074074,"1,5 jours par mois",85,SBM,500.0,7.692,Campagne Augmentat,7000.0,Actif,6388.948385909328,-611.051614090672
13,002DATA030,Féminin,38,Maroc,CASABLANCA,MA-Cns,Production,SFR BOT FTTH,Conseilleur Technique,Employés,E2,12,J03,DI,temps plein,0.0,39.57,208.0,Sur site,Locale,391,0.1044337606837606,"1,5 jours par mois",-99,SBM,180.0,4.681,Campagne Augmentat,4025.0,Actif,6805.295006089062,2780.2950060890616
5763,958DATA076,Féminin,46,Maroc,MAR,MA-Cns,Production,SFR ANTICHURN AGD 2,Chargé De Clientèle,Employés,E2,1,J02,DI,temps plein,7.91,39.57,180.0,Sur site,Locale,14,0.0518518518518518,"1,5 jours par mois",-99,SBM,0.0,0.0,Non défini,3845.0,Actif,3933.970902052515,88.97090205251516
4864,818DATAM00,Féminin,39,Maroc,CASABLANCA,MA-MKS,Production,SFR DIGITAL CONV MKN,Conseiller Digital,Employés,E2,8,C02,DI,temps plein,0.0,39.57,192.0,Sur site,Locale,250,0.1085069444444444,"1,5 jours par mois",108,SBM,58.43,1.443,Mutation,4108.43,Actif,3827.33380558072,-281.09619441928044
2420,394DATA039,Masculin,37,Sénégal,SEN,MA-Cns,Production,SFR FRONT CO PREMIUM AE,Conseiller Commercial,Employés,E2,5,C02,DI,temps plein,0.0,39.57,180.0,Sur site,Locale,118,0.0874074074074074,"1,5 jours par mois",95,SBM,141.08,3.237,Campagne Augmentat,4500.0,Actif,4400.610242039094,-99.38975796090563
389,061DATA070,Féminin,35,Maroc,MAR,MA-Cns,Hors production,DEPARTEMENT DEPLOIEMENT,Responsable De Programme,Cadre,C2,2,J01,DI,temps plein,7.91,39.57,208.0,Sur site,Locale,42,0.0673076923076923,2 jours par mois,-99,SBM,694.87,2.0,Campagne Augmentat,35438.17,Actif,32360.502252582355,-3077.667747417643
4516,768DATA068,Féminin,28,Maroc,MAR,MA-Cns,Production,FRONT TECH FTTH PRE JAD,Conseilleur Technique,Employés,E2,3,J02,AN,temps plein,7.91,39.57,180.0,Sur site,Locale,222,0.2740740740740741,"1,5 jours par mois",-99,SBM,165.48,5.022,Campagne Augmentat,3460.5,Actif,3889.2311100105544,428.7311100105544
5309,886DATAM00,Masculin,42,Maroc,CASABLANCA,MA-MKS,Production,GLOVO MEKNES,Responsable D'Équipe,Cadres Assimilés,A1,8,C03,DI,temps plein,0.0,39.57,192.0,Sur site,Locale,214,0.0928819444444444,"1,5 jours par mois",128,SBM,1797.43,43.389,Titularisation,5940.0,Actif,6563.4040420083065,623.4040420083065
5671,945DATA064,Féminin,28,Maroc,MAR,MA-Cns,Production,SFR N1 Tech FTTH AE OUJDA,Responsable D'Équipe,Employés,E2,4,J02,DI,temps plein,7.91,39.57,180.0,Travail à distance,Locale,35,0.0324074074074074,"1,5 jours par mois",-99,SBM,39.3,1.358,Augmentation SMIG,2932.2,Actif,3539.8591157812925,607.6591157812927
938,156DATAI01,Féminin,31,Maroc,MAR,MA-OUJDA,Production,SFR RET A CHAUD OUJDA,Chargé De Clientèle,Employés,E2,2,J01,DI,temps plein,7.91,39.57,180.0,Travail à distance,Locale,26,0.0481481481481481,"1,5 jours par mois",-99,SBM,89.99,3.124,Campagne Augmentat,2970.47,Actif,3004.58305440672,34.11305440672004
